movie_id,title,rating_count,mean_rating
1,toy story,452,3.8783
2,goldeneye,131,3.2061
3,four rooms,90,3.0333
4,get shorty,209,3.5502
5,copycat,86,3.3023
6,shanghai triad yao a yao yao dao waipo qiao,26,3.5769
7,twelve monkeys,392,3.7985
8,babe,219,3.9954
9,dead man walking,299,3.8963
10,richard iii,89,3.8315
11,seven se7en,236,3.8475
12,usual suspects the,267,4.3858
13,mighty aphrodite,184,3.4185
14,postino il,183,3.9672
15,mr hollands opus,293,3.7782
16,french twist gazon maudit,39,3.2051
17,from dusk till dawn,92,3.1196
18,white balloon the,10,2.8
19,antonias line,69,3.9565
20,angels and insects,72,3.4167
21,muppet treasure island,84,2.7619
22,braveheart,297,4.1515
23,taxi driver,182,4.1209
24,rumble in the bronx,174,3.4483
25,birdcage the,293,3.4437
26,brothers mcmullen the,73,3.4521
27,bad boys,57,3.1053
28,apollo 13,276,3.9312
29,batman forever,114,2.6667
30,belle de jour,37,3.9459
31,crimson tide,154,3.6299
32,crumb,81,3.7901
33,desperado,97,3.4536
34,doom generation the,7,2.7143
35,free willy 2 the adventure home,11,2.1818
36,mad love,13,2.1538
37,nadja,8,2.25
38,net the,120,3.0083
39,strange days,87,3.2644
40,to wong foo thanks for everything julie newmar,57,2.8947
41,billy madison,37,3.0811
42,clerks,148,3.8041
43,disclosure,40,3.0
44,dolores claiborne,79,3.3418
45,eat drink man woman,80,4.05
46,exotica,27,3.5556
47,ed wood,133,3.6015
48,hoop dreams,117,4.094
49,iq,81,3.321
50,star wars,583,4.3585
51,legends of the fall,81,3.4568
52,madness of king george the,91,3.7692
53,natural born killers,128,2.9531
54,outbreak,104,3.2404
55,professional the,149,3.7047
56,pulp fiction,394,4.0609
57,priest,40,4.0
58,quiz show,175,3.6457
59,three colors red,83,4.0602
60,three colors blue,64,4.0156
61,three colors white,59,3.8644
62,stargate,127,3.1417
63,santa clause the,82,3.0976
64,shawshank redemption the,283,4.4452
65,whats eating gilbert grape,115,3.5391
66,while you were sleeping,162,3.5494
67,ace ventura pet detective,103,3.0485
68,crow the,134,3.4179
69,forrest gump,321,3.8536
