condition,user_id,target_movie_id,target_score,target_rank,hit_at_10,target_predictable
clean,49,758,1.0,1129,False,True
clean,117,758,2.4246,1268,False,True
clean,246,758,1.7148,1130,False,True
clean,366,758,2.9479,1105,False,True
clean,374,758,1.856,1087,False,True
clean,417,758,1.4307,1053,False,True
clean,457,758,2.4311,1120,False,True
random,49,758,2.3245,733,False,True
random,117,758,3.3075,1123,False,True
random,246,758,2.7853,700,False,True
random,366,758,4.7268,194,False,True
random,374,758,3.1413,621,False,True
random,417,758,2.395,972,False,True
random,457,758,3.0774,1109,False,True
random_defended,49,758,1.0,1129,False,True
random_defended,117,758,2.4246,1268,False,True
random_defended,246,758,1.7148,1130,False,True
random_defended,366,758,2.9479,1105,False,True
random_defended,374,758,1.856,1087,False,True
random_defended,417,758,1.4307,1053,False,True
random_defended,457,758,2.4311,1120,False,True
average,49,758,3.068,246,False,True
average,117,758,3.6514,904,False,True
average,246,758,3.356,257,False,True
average,366,758,5.0,30,False,True
average,374,758,3.6443,257,False,True
average,417,758,3.2466,457,False,True
average,457,758,3.7455,702,False,True
average_defended,49,758,1.0,1129,False,True
average_defended,117,758,2.4246,1268,False,True
average_defended,246,758,1.7148,1130,False,True
average_defended,366,758,2.9479,1105,False,True
average_defended,374,758,1.856,1087,False,True
average_defended,417,758,1.4307,1053,False,True
average_defended,457,758,2.4311,1120,False,True
